                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 1.122 Rnm= 1.672 K shell
 Pot 1 Z= 8 Rmt= 0.918 Rnm= 1.369
 Gam_ch=1.761E+00 H-L exch
 Mu=-2.823E+00 kf=1.586E+00 Vint=-1.240E+01 Rs_int= 2.287
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   2.0396
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -1.194243E-01  1.355388E-01 -1.078200E+00
     0.0500   -1.177825E-01  1.343822E-01 -1.068490E+00
     0.1000   -1.161405E-01  1.332256E-01 -1.058780E+00
     0.1500   -1.144985E-01  1.320690E-01 -1.049070E+00
     0.2000   -1.128570E-01  1.309124E-01 -1.039360E+00
     0.2500   -1.099245E-01  1.297558E-01 -1.010625E+00
     0.3000   -1.069365E-01  1.285992E-01 -9.818900E-01
     0.3500   -1.038972E-01  1.274426E-01 -9.531550E-01
     0.4000   -1.008106E-01  1.262860E-01 -9.244200E-01
     0.4500   -9.582357E-02  1.245786E-01 -8.775600E-01
     0.5000   -9.072844E-02  1.228711E-01 -8.307000E-01
     0.5500   -8.554198E-02  1.211636E-01 -7.838400E-01
     0.6000   -8.028102E-02  1.194561E-01 -7.369800E-01
     0.6500   -7.323463E-02  1.174340E-01 -6.733700E-01
     0.7000   -6.609299E-02  1.154119E-01 -6.097600E-01
     0.7500   -5.889476E-02  1.133897E-01 -5.461500E-01
     0.8000   -5.167798E-02  1.113676E-01 -4.825400E-01
     0.8500   -4.290028E-02  1.092407E-01 -4.035800E-01
     0.9000   -3.416382E-02  1.071139E-01 -3.246200E-01
     0.9500   -2.553247E-02  1.049870E-01 -2.456600E-01
     1.0000   -1.706747E-02  1.028601E-01 -1.667000E-01
     1.0500   -7.456923E-03  1.007729E-01 -7.406497E-02
     1.1000    1.832492E-03  9.868577E-02  1.857003E-02
     1.1500    1.072012E-02  9.659860E-02  1.112050E-01
     1.2000    1.913208E-02  9.451144E-02  2.038400E-01
     1.2500    2.810538E-02  9.254283E-02  3.085750E-01
     1.3000    3.637849E-02  9.057423E-02  4.133100E-01
     1.3500    4.387597E-02  8.860563E-02  5.180450E-01
     1.4000    5.053499E-02  8.663703E-02  6.227800E-01
     1.4500    5.707648E-02  8.483630E-02  7.379650E-01
     1.5000    6.255532E-02  8.303557E-02  8.531501E-01
     1.5500    6.693291E-02  8.123484E-02  9.683351E-01
     1.6000    7.018889E-02  7.943411E-02  1.083520E+00
     1.6500    7.270836E-02  7.777192E-02  1.207955E+00
     1.7000    7.395701E-02  7.610973E-02  1.332390E+00
     1.7500    7.396455E-02  7.444754E-02  1.456825E+00
     1.8000    7.278137E-02  7.278535E-02  1.581260E+00
     1.8500    6.991080E-02  7.072624E-02  1.722795E+00
     1.9000    6.573006E-02  6.866713E-02  1.864330E+00
     1.9500    6.040289E-02  6.660802E-02  2.005865E+00
     2.0000    5.411258E-02  6.454891E-02  2.147400E+00
     2.0500    4.846782E-02  6.333443E-02  2.270135E+00
     2.1000    4.228528E-02  6.211996E-02  2.392870E+00
     2.1500    3.568439E-02  6.090548E-02  2.515605E+00
     2.2000    2.878762E-02  5.969101E-02  2.638340E+00
     2.2500    2.085041E-02  5.866349E-02  2.778225E+00
     2.3000    1.277368E-02  5.763597E-02  2.918110E+00
     2.3500    4.726818E-03  5.660845E-02  3.057995E+00
     2.4000   -3.126857E-03  5.558093E-02  3.197880E+00
     2.4500   -1.097288E-02  5.461303E-02  3.343890E+00
     2.5000   -1.830948E-02  5.364514E-02  3.489900E+00
     2.5500   -2.499172E-02  5.267725E-02  3.635910E+00
     2.6000   -3.089417E-02  5.170936E-02  3.781920E+00
     2.6500   -3.593841E-02  5.066453E-02  3.930155E+00
     2.7000   -3.997686E-02  4.961969E-02  4.078390E+00
     2.7500   -4.295565E-02  4.857486E-02  4.226625E+00
     2.8000   -4.484819E-02  4.753003E-02  4.374860E+00
     2.8500   -4.573889E-02  4.652873E-02  4.527870E+00
     2.9000   -4.550484E-02  4.552743E-02  4.680880E+00
     2.9500   -4.419788E-02  4.452614E-02  4.833890E+00
     3.0000   -4.189518E-02  4.352484E-02  4.986900E+00
     3.0500   -3.868888E-02  4.247055E-02  5.137585E+00
     3.1000   -3.473635E-02  4.141626E-02  5.288270E+00
     3.1500   -3.016895E-02  4.036197E-02  5.438955E+00
     3.2000   -2.512812E-02  3.930768E-02  5.589640E+00
     3.2500   -1.970395E-02  3.832855E-02  5.743250E+00
     3.3000   -1.407277E-02  3.734941E-02  5.896860E+00
     3.3500   -8.387727E-03  3.637028E-02  6.050470E+00
     3.4000   -2.796703E-03  3.539115E-02  6.204080E+00
     3.4500    2.608618E-03  3.443393E-02  6.359015E+00
     3.5000    7.656864E-03  3.347670E-02  6.513950E+00
     3.5500    1.223408E-02  3.251948E-02  6.668885E+00
     3.6000    1.624447E-02  3.156225E-02  6.823820E+00
     3.6500    1.958320E-02  3.068553E-02  6.975330E+00
     3.7000    2.226950E-02  2.980881E-02  7.126840E+00
     3.7500    2.426965E-02  2.893209E-02  7.278350E+00
     3.8000    2.556969E-02  2.805537E-02  7.429860E+00
     3.8500    2.625395E-02  2.725419E-02  7.582220E+00
     3.9000    2.626465E-02  2.645300E-02  7.734580E+00
     3.9500    2.563788E-02  2.565181E-02  7.886940E+00
     4.0000    2.442512E-02  2.485062E-02  8.039300E+00
     4.0500    2.277156E-02  2.412059E-02  8.190010E+00
     4.1000    2.067405E-02  2.339056E-02  8.340720E+00
     4.1500    1.821038E-02  2.266052E-02  8.491430E+00
     4.2000    1.546433E-02  2.193049E-02  8.642140E+00
     4.2500    1.262345E-02  2.130195E-02  8.790500E+00
     4.3000    9.654897E-03  2.067341E-02  8.938860E+00
     4.3500    6.638533E-03  2.004487E-02  9.087220E+00
     4.4000    3.651648E-03  1.941633E-02  9.235580E+00
     4.4500    7.186789E-04  1.886122E-02  9.386665E+00
     4.5000   -2.063685E-03  1.830610E-02  9.537751E+00
     4.5500   -4.632997E-03  1.775099E-02  9.688836E+00
     4.6000   -6.935445E-03  1.719588E-02  9.839921E+00
     4.6500   -8.939786E-03  1.671596E-02  9.989056E+00
     4.7000   -1.062516E-02  1.623605E-02  1.013819E+01
     4.7500   -1.196681E-02  1.575613E-02  1.028733E+01
     4.8000   -1.295003E-02  1.527621E-02  1.043646E+01
     4.8500   -1.365227E-02  1.487105E-02  1.058790E+01
     4.9000   -1.399355E-02  1.446588E-02  1.073933E+01
     4.9500   -1.398356E-02  1.406072E-02  1.089077E+01
     5.0000   -1.364071E-02  1.365555E-02  1.104220E+01
     5.0500   -1.304498E-02  1.330071E-02  1.119199E+01
     5.1000   -1.217780E-02  1.294588E-02  1.134177E+01
     5.1500   -1.107385E-02  1.259104E-02  1.149156E+01
     5.2000   -9.772305E-03  1.223620E-02  1.164134E+01
     5.2500   -8.321425E-03  1.193076E-02  1.179450E+01
     5.3000   -6.742508E-03  1.162531E-02  1.194766E+01
