                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 1.134 Rnm= 1.685 K shell
 Pot 1 Z= 8 Rmt= 0.928 Rnm= 1.379
 Gam_ch=1.761E+00 H-L exch
 Mu=-2.855E+00 kf=1.562E+00 Vint=-1.215E+01 Rs_int= 2.322
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   2.0616
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -1.160474E-01  1.336158E-01 -1.052200E+00
     0.0500   -1.143740E-01  1.324543E-01 -1.042165E+00
     0.1000   -1.127009E-01  1.312928E-01 -1.032130E+00
     0.1500   -1.110284E-01  1.301313E-01 -1.022095E+00
     0.2000   -1.093568E-01  1.289698E-01 -1.012060E+00
     0.2500   -1.063097E-01  1.278083E-01 -9.823250E-01
     0.3000   -1.032070E-01  1.266468E-01 -9.525900E-01
     0.3500   -1.000530E-01  1.254853E-01 -9.228550E-01
     0.4000   -9.685223E-02  1.243239E-01 -8.931200E-01
     0.4500   -9.168772E-02  1.226107E-01 -8.447350E-01
     0.5000   -8.641862E-02  1.208976E-01 -7.963500E-01
     0.5500   -8.106313E-02  1.191845E-01 -7.479650E-01
     0.6000   -7.563938E-02  1.174714E-01 -6.995800E-01
     0.6500   -6.838453E-02  1.154544E-01 -6.339200E-01
     0.7000   -6.104821E-02  1.134374E-01 -5.682600E-01
     0.7500   -5.367187E-02  1.114205E-01 -5.026000E-01
     0.8000   -4.629617E-02  1.094035E-01 -4.369400E-01
     0.8500   -3.735920E-02  1.072910E-01 -3.556550E-01
     0.9000   -2.849711E-02  1.051785E-01 -2.743700E-01
     0.9500   -1.977706E-02  1.030660E-01 -1.930850E-01
     1.0000   -1.126309E-02  1.009534E-01 -1.118000E-01
     1.0500   -1.645511E-03  9.889364E-02 -1.663997E-02
     1.1000    7.595586E-03  9.683385E-02  7.852003E-02
     1.1500    1.637773E-02  9.477406E-02  1.736800E-01
     1.2000    2.462614E-02  9.271426E-02  2.688400E-01
     1.2500    3.334603E-02  9.078791E-02  3.761000E-01
     1.3000    4.129902E-02  8.886155E-02  4.833600E-01
     1.3500    4.841213E-02  8.693519E-02  5.906200E-01
     1.4000    5.462623E-02  8.500883E-02  6.978800E-01
     1.4500    6.061594E-02  8.324486E-02  8.156401E-01
