                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 1.112 Rnm= 1.658 K shell
 Pot 1 Z= 8 Rmt= 0.911 Rnm= 1.358
 Gam_ch=1.761E+00 H-L exch
 Mu=-2.800E+00 kf=1.605E+00 Vint=-1.262E+01 Rs_int= 2.259
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   2.0224
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -1.230369E-01  1.372485E-01 -1.111700E+00
     0.0500   -1.214301E-01  1.360938E-01 -1.102310E+00
     0.1000   -1.198223E-01  1.349391E-01 -1.092920E+00
     0.1500   -1.182140E-01  1.337843E-01 -1.083530E+00
     0.2000   -1.166054E-01  1.326296E-01 -1.074140E+00
     0.2500   -1.137982E-01  1.314748E-01 -1.046250E+00
     0.3000   -1.109348E-01  1.303201E-01 -1.018360E+00
     0.3500   -1.080189E-01  1.291653E-01 -9.904700E-01
     0.4000   -1.050543E-01  1.280106E-01 -9.625800E-01
     0.4500   -1.002554E-01  1.262998E-01 -9.170150E-01
     0.5000   -9.534331E-02  1.245889E-01 -8.714500E-01
     0.5500   -9.033359E-02  1.228781E-01 -8.258850E-01
     0.6000   -8.524200E-02  1.211673E-01 -7.803200E-01
     0.6500   -7.841207E-02  1.191372E-01 -7.183800E-01
     0.7000   -7.147061E-02  1.171072E-01 -6.564400E-01
     0.7500   -6.445412E-02  1.150772E-01 -5.945000E-01
     0.8000   -5.739863E-02  1.130472E-01 -5.325600E-01
     0.8500   -4.878803E-02  1.108997E-01 -4.555200E-01
     0.9000   -4.018486E-02  1.087522E-01 -3.784800E-01
     0.9500   -3.165046E-02  1.066047E-01 -3.014400E-01
     1.0000   -2.324397E-02  1.044572E-01 -2.244000E-01
     1.0500   -1.364877E-02  1.023441E-01 -1.337600E-01
     1.1000   -4.320622E-03  1.002311E-01 -4.311997E-02
     1.1500    4.660817E-03  9.811803E-02  4.752003E-02
     1.2000    1.322189E-02  9.600496E-02  1.381600E-01
     1.2500    2.242767E-02  9.400609E-02  2.409000E-01
     1.3000    3.099875E-02  9.200721E-02  3.436400E-01
     1.3500    3.885688E-02  9.000833E-02  4.463800E-01
     1.4000    4.593538E-02  8.800945E-02  5.491200E-01
     1.4500    5.300495E-02  8.617321E-02  6.625100E-01
     1.5000    5.906613E-02  8.433696E-02  7.759001E-01
     1.5500    6.407209E-02  8.250072E-02  8.892901E-01
     1.6000    6.799337E-02  8.066447E-02  1.002680E+00
     1.6500    7.127273E-02  7.897893E-02  1.125370E+00
     1.7000    7.330282E-02  7.729339E-02  1.248060E+00
     1.7500    7.410003E-02  7.560785E-02  1.370750E+00
     1.8000    7.370125E-02  7.392231E-02  1.493440E+00
     1.8500    7.224306E-02  7.234719E-02  1.624455E+00
     1.9000    6.956867E-02  7.077206E-02  1.755470E+00
     1.9500    6.577742E-02  6.919694E-02  1.886485E+00
     2.0000    6.098649E-02  6.762182E-02  2.017500E+00
     2.0500    5.511818E-02  6.581552E-02  2.148965E+00
     2.1000    4.855743E-02  6.400923E-02  2.280430E+00
     2.1500    4.146722E-02  6.220293E-02  2.411895E+00
     2.2000    3.401435E-02  6.039663E-02  2.543360E+00
     2.2500    2.645348E-02  5.939604E-02  2.680000E+00
     2.3000    1.864355E-02  5.839544E-02  2.816640E+00
     2.3500    1.074440E-02  5.739484E-02  2.953280E+00
     2.4000    2.912738E-03  5.639424E-02  3.089920E+00
     2.4500   -5.084866E-03  5.535285E-02  3.233585E+00
     2.5000   -1.268077E-02  5.431147E-02  3.377250E+00
     2.5500   -1.972544E-02  5.327008E-02  3.520915E+00
     2.6000   -2.608669E-02  5.222870E-02  3.664580E+00
     2.6500   -3.181732E-02  5.123177E-02  3.811670E+00
     2.7000   -3.663177E-02  5.023483E-02  3.958760E+00
     2.7500   -4.045513E-02  4.923790E-02  4.105850E+00
     2.8000   -4.323824E-02  4.824097E-02  4.252940E+00
     2.8500   -4.496491E-02  4.717875E-02  4.404830E+00
     2.9000   -4.555890E-02  4.611654E-02  4.556720E+00
     2.9500   -4.505400E-02  4.505432E-02  4.708610E+00
     3.0000   -4.351047E-02  4.399211E-02  4.860500E+00
     3.0500   -4.105446E-02  4.294603E-02  5.010290E+00
     3.1000   -3.777067E-02  4.189996E-02  5.160080E+00
     3.1500   -3.377616E-02  4.085388E-02  5.309870E+00
     3.2000   -2.920087E-02  3.980781E-02  5.459660E+00
     3.2500   -2.412075E-02  3.880423E-02  5.612400E+00
     3.3000   -1.871823E-02  3.780065E-02  5.765140E+00
     3.3500   -1.314517E-02  3.679706E-02  5.917880E+00
     3.4000   -7.551280E-03  3.579348E-02  6.070620E+00
