                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 1.105 Rnm= 1.649 K shell
 Pot 1 Z= 8 Rmt= 0.905 Rnm= 1.352
 Gam_ch=1.761E+00 H-L exch
 Mu=-2.781E+00 kf=1.619E+00 Vint=-1.277E+01 Rs_int= 2.240
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   2.0100
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -1.244696E-01  1.381973E-01 -1.121300E+00
     0.0500   -1.228812E-01  1.370494E-01 -1.112075E+00
     0.1000   -1.212916E-01  1.359015E-01 -1.102850E+00
     0.1500   -1.197014E-01  1.347537E-01 -1.093625E+00
     0.2000   -1.181106E-01  1.336058E-01 -1.084400E+00
     0.2500   -1.153573E-01  1.324580E-01 -1.057025E+00
     0.3000   -1.125483E-01  1.313101E-01 -1.029650E+00
     0.3500   -1.096875E-01  1.301622E-01 -1.002275E+00
     0.4000   -1.067782E-01  1.290144E-01 -9.749000E-01
     0.4500   -1.020682E-01  1.273131E-01 -9.301500E-01
     0.5000   -9.724474E-02  1.256119E-01 -8.854000E-01
     0.5500   -9.232295E-02  1.239106E-01 -8.406500E-01
     0.6000   -8.731783E-02  1.222094E-01 -7.959000E-01
     0.6500   -8.058872E-02  1.201797E-01 -7.349750E-01
     0.7000   -7.374393E-02  1.181500E-01 -6.740500E-01
     0.7500   -6.681861E-02  1.161202E-01 -6.131250E-01
     0.8000   -5.984749E-02  1.140905E-01 -5.522000E-01
     0.8500   -5.133741E-02  1.119425E-01 -4.764250E-01
     0.9000   -4.282169E-02  1.097944E-01 -4.006500E-01
     0.9500   -3.435969E-02  1.076464E-01 -3.248750E-01
     1.0000   -2.600871E-02  1.054984E-01 -2.491000E-01
     1.0500   -1.645140E-02  1.033734E-01 -1.598250E-01
     1.1000   -7.137149E-03  1.012484E-01 -7.054997E-02
     1.1500    1.855981E-03  9.912345E-02  1.872503E-02
     1.2000    1.045549E-02  9.699847E-02  1.080000E-01
     1.2500    1.973229E-02  9.499175E-02  2.092500E-01
     1.3000    2.841016E-02  9.298502E-02  3.105000E-01
     1.3500    3.641076E-02  9.097830E-02  4.117500E-01
     1.4000    4.366666E-02  8.897158E-02  5.130000E-01
     1.4500    5.095391E-02  8.710735E-02  6.248250E-01
     1.5000    5.726720E-02  8.524312E-02  7.366500E-01
     1.5500    6.255694E-02  8.337889E-02  8.484751E-01
     1.6000    6.679015E-02  8.151466E-02  9.603001E-01
     1.6500    7.045026E-02  7.981657E-02  1.081475E+00
     1.7000    7.288423E-02  7.811847E-02  1.202650E+00
     1.7500    7.410158E-02  7.642038E-02  1.323825E+00
     1.8000    7.413184E-02  7.472229E-02  1.445000E+00
     1.8500    7.312735E-02  7.312784E-02  1.574450E+00
     1.9000    7.090066E-02  7.153339E-02  1.703900E+00
     1.9500    6.754215E-02  6.993893E-02  1.833350E+00
     2.0000    6.316024E-02  6.834448E-02  1.962800E+00
     2.0500    5.761645E-02  6.650020E-02  2.093625E+00
     2.1000    5.132822E-02  6.465592E-02  2.224450E+00
     2.1500    4.445535E-02  6.281163E-02  2.355275E+00
     2.2000    3.716264E-02  6.096735E-02  2.486100E+00
     2.2500    2.980025E-02  5.994410E-02  2.621300E+00
     2.3000    2.213332E-02  5.892086E-02  2.756500E+00
     2.3500    1.431807E-02  5.789761E-02  2.891700E+00
     2.4000    6.508775E-03  5.687437E-02  3.026900E+00
     2.4500   -1.539754E-03  5.583078E-02  3.169175E+00
     2.5000   -9.261328E-03  5.478719E-02  3.311450E+00
     2.5500   -1.650405E-02  5.374359E-02  3.453725E+00
     2.6000   -2.313161E-02  5.270000E-02  3.596000E+00
     2.6500   -2.920525E-02  5.169454E-02  3.741975E+00
     2.7000   -3.441632E-02  5.068908E-02  3.887950E+00
     2.7500   -3.868057E-02  4.968362E-02  4.033925E+00
     2.8000   -4.193848E-02  4.867816E-02  4.179900E+00
     2.8500   -4.418918E-02  4.761720E-02  4.330625E+00
     2.9000   -4.531919E-02  4.655624E-02  4.481350E+00
     2.9500   -4.534862E-02  4.549527E-02  4.632075E+00
     3.0000   -4.432421E-02  4.443431E-02  4.782800E+00
     3.0500   -4.234596E-02  4.338393E-02  4.931575E+00
     3.1000   -3.949985E-02  4.233354E-02  5.080350E+00
     3.1500   -3.589307E-02  4.128316E-02  5.229125E+00
     3.2000   -3.164715E-02  4.023277E-02  5.377900E+00
     3.2500   -2.684265E-02  3.921633E-02  5.529300E+00
     3.3000   -2.164757E-02  3.819989E-02  5.680700E+00
     3.3500   -1.620984E-02  3.718345E-02  5.832100E+00
     3.4000   -1.067720E-02  3.616702E-02  5.983500E+00
     3.4500   -5.146787E-03  3.519558E-02  6.136425E+00
     3.5000    2.109855E-04  3.422415E-02  6.289350E+00
     3.5500    5.267882E-03  3.325271E-02  6.442275E+00
     3.6000    9.909605E-03  3.228128E-02  6.595200E+00
     3.6500    1.398698E-02  3.138779E-02  6.745050E+00
     3.7000    1.751203E-02  3.049431E-02  6.894900E+00
     3.7500    2.042619E-02  2.960082E-02  7.044750E+00
     3.8000    2.268946E-02  2.870734E-02  7.194600E+00
     3.8500    2.434634E-02  2.788354E-02  7.344800E+00
     3.9000    2.533482E-02  2.705974E-02  7.495000E+00
     3.9500    2.566620E-02  2.623593E-02  7.645200E+00
     4.0000    2.536854E-02  2.541213E-02  7.795400E+00
     4.0500    2.457285E-02  2.467392E-02  7.944525E+00
     4.1000    2.325155E-02  2.393571E-02  8.093650E+00
     4.1500    2.146620E-02  2.319750E-02  8.242775E+00
     4.2000    1.928752E-02  2.245929E-02  8.391900E+00
     4.2500    1.690628E-02  2.180855E-02  8.537725E+00
     4.3000    1.428563E-02  2.115781E-02  8.683550E+00
     4.3500    1.150123E-02  2.050707E-02  8.829375E+00
     4.4000    8.629268E-03  1.985633E-02  8.975200E+00
     4.4500    5.721684E-03  1.928797E-02  9.123600E+00
     4.5000    2.848828E-03  1.871962E-02  9.272000E+00
     4.5500    7.946160E-05  1.815126E-02  9.420400E+00
     4.6000   -2.523584E-03  1.758291E-02  9.568801E+00
     4.6500   -4.899111E-03  1.710126E-02  9.715326E+00
     4.7000   -7.034898E-03  1.661962E-02  9.861851E+00
     4.7500   -8.892499E-03  1.613798E-02  1.000838E+01
     4.8000   -1.044216E-02  1.565633E-02  1.015490E+01
     4.8500   -1.172283E-02  1.523353E-02  1.030290E+01
     4.9000   -1.266756E-02  1.481073E-02  1.045090E+01
     4.9500   -1.327072E-02  1.438792E-02  1.059890E+01
     5.0000   -1.353555E-02  1.396512E-02  1.074690E+01
     5.0500   -1.353461E-02  1.360515E-02  1.089370E+01
     5.1000   -1.323181E-02  1.324518E-02  1.104050E+01
     5.1500   -1.264911E-02  1.288521E-02  1.118730E+01
     5.2000   -1.181437E-02  1.252523E-02  1.133410E+01
     5.2500   -1.079200E-02  1.222016E-02  1.148388E+01
     5.3000   -9.570714E-03  1.191509E-02  1.163365E+01
     5.3500   -8.189359E-03  1.161001E-02  1.178343E+01
     5.4000   -6.689174E-03  1.130494E-02  1.193320E+01
     5.4500   -5.110129E-03  1.102026E-02  1.208420E+01
     5.5000   -3.490673E-03  1.073558E-02  1.223520E+01
     5.5500   -1.872771E-03  1.045090E-02  1.238620E+01
     5.6000   -2.965101E-04  1.016621E-02  1.253720E+01
     5.6500    1.219260E-03  9.915290E-03  1.268965E+01
     5.7000    2.631115E-03  9.664367E-03  1.284210E+01
     5.7500    3.908607E-03  9.413443E-03  1.299455E+01
     5.8000    5.026105E-03  9.162520E-03  1.314700E+01
     5.8500    5.993763E-03  8.933836E-03  1.330180E+01
     5.9000    6.765786E-03  8.705152E-03  1.345660E+01
     5.9500    7.331632E-03  8.476468E-03  1.361140E+01
     6.0000    7.686748E-03  8.247784E-03  1.376620E+01
     6.0500    7.875862E-03  8.057278E-03  1.392456E+01
     6.1000    7.855199E-03  7.866771E-03  1.408292E+01
     6.1500    7.634699E-03  7.676265E-03  1.424128E+01
     6.2000    7.229380E-03  7.485758E-03  1.439964E+01
     6.2500    6.658732E-03  7.295252E-03  1.455800E+01
     6.3000    5.945993E-03  7.104745E-03  1.471636E+01
     6.3500    5.117339E-03  6.914239E-03  1.487472E+01
     6.4000    4.201028E-03  6.723732E-03  1.503308E+01
     6.4500    3.226497E-03  6.533226E-03  1.519144E+01
     6.5000    2.223468E-03  6.342719E-03  1.534980E+01
     6.5500    1.210351E-03  6.196159E-03  1.551136E+01
     6.6000    2.119524E-04  6.049599E-03  1.567292E+01
     6.6500   -7.448442E-04  5.903039E-03  1.583448E+01
     6.7000   -1.635468E-03  5.756478E-03  1.599604E+01
     6.7500   -2.438287E-03  5.609918E-03  1.615760E+01
     6.8000   -3.135138E-03  5.463358E-03  1.631916E+01
     6.8500   -3.711720E-03  5.316798E-03  1.648072E+01
     6.9000   -4.157871E-03  5.170237E-03  1.664228E+01
     6.9500   -4.467705E-03  5.023677E-03  1.680384E+01
     7.0000   -4.639618E-03  4.877117E-03  1.696540E+01
     7.0500   -4.718619E-03  4.772747E-03  1.712801E+01
     7.1000   -4.668049E-03  4.668377E-03  1.729062E+01
     7.1500   -4.494719E-03  4.564007E-03  1.745323E+01
     7.2000   -4.208667E-03  4.459637E-03  1.761584E+01
     7.2500   -3.822752E-03  4.355267E-03  1.777845E+01
     7.3000   -3.352170E-03  4.250897E-03  1.794106E+01
     7.3500   -2.813927E-03  4.146527E-03  1.810367E+01
     7.4000   -2.226262E-03  4.042157E-03  1.826628E+01
     7.4500   -1.608067E-03  3.937787E-03  1.842889E+01
     7.5000   -9.782919E-04  3.833417E-03  1.859150E+01
     7.5500   -3.563840E-04  3.765335E-03  1.875477E+01
     7.6000    2.529696E-04  3.697253E-03  1.891803E+01
     7.6500    8.335148E-04  3.629172E-03  1.908130E+01
     7.7000    1.370351E-03  3.561090E-03  1.924456E+01
     7.7500    1.850313E-03  3.493008E-03  1.940783E+01
