                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 1.272 Rnm= 1.848 K shell
 Pot 1 Z= 8 Rmt= 1.028 Rnm= 1.494
 Gam_ch=1.761E+00 H-L exch
 Mu=-3.077E+00 kf=1.333E+00 Vint=-9.848E+00 Rs_int= 2.721
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   2.3000
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -8.108003E-02  1.123195E-01 -8.065000E-01
     0.0500   -7.910120E-02  1.111429E-01 -7.919250E-01
     0.1000   -7.712965E-02  1.099664E-01 -7.773500E-01
     0.1500   -7.516617E-02  1.087898E-01 -7.627750E-01
     0.2000   -7.321151E-02  1.076133E-01 -7.482000E-01
     0.2500   -6.901105E-02  1.064367E-01 -7.054500E-01
     0.3000   -6.476104E-02  1.052601E-01 -6.627000E-01
     0.3500   -6.047197E-02  1.040836E-01 -6.199500E-01
     0.4000   -5.615426E-02  1.029070E-01 -5.772000E-01
     0.4500   -4.932214E-02  1.012460E-01 -5.088250E-01
     0.5000   -4.245773E-02  9.958502E-02 -4.404500E-01
     0.5500   -3.560020E-02  9.792403E-02 -3.720750E-01
     0.6000   -2.878774E-02  9.626304E-02 -3.037000E-01
     0.6500   -1.997634E-02  9.441125E-02 -2.132000E-01
     0.7000   -1.132857E-02  9.255946E-02 -1.227000E-01
     0.7500   -2.920280E-03  9.070767E-02 -3.219998E-02
     0.8000    5.177366E-03  8.885587E-02  5.830003E-02
     0.8500    1.446669E-02  8.703086E-02  1.670000E-01
     0.9000    2.319479E-02  8.520585E-02  2.757000E-01
     0.9500    3.126807E-02  8.338084E-02  3.844000E-01
     1.0000    3.860518E-02  8.155583E-02  4.931000E-01
     1.0500    4.615696E-02  7.987050E-02  6.161500E-01
     1.1000    5.267311E-02  7.818517E-02  7.392000E-01
     1.1500    5.808699E-02  7.649983E-02  8.622500E-01
     1.2000    6.235324E-02  7.481450E-02  9.853000E-01
     1.2500    6.596656E-02  7.329864E-02  1.119700E+00
     1.3000    6.821298E-02  7.178278E-02  1.254100E+00
     1.3500    6.910259E-02  7.026692E-02  1.388500E+00
     1.4000    6.867221E-02  6.875105E-02  1.522900E+00
     1.4500    6.706703E-02  6.737648E-02  1.666675E+00
     1.5000    6.411558E-02  6.600190E-02  1.810450E+00
     1.5500    5.993456E-02  6.462732E-02  1.954225E+00
     1.6000    5.466411E-02  6.325274E-02  2.098000E+00
     1.6500    4.782595E-02  6.152432E-02  2.251150E+00
     1.7000    4.019996E-02  5.979591E-02  2.404300E+00
     1.7500    3.202331E-02  5.806749E-02  2.557450E+00
     1.8000    2.353693E-02  5.633907E-02  2.710600E+00
     1.8500    1.534976E-02  5.549185E-02  2.861325E+00
     1.9000    7.059024E-03  5.464463E-02  3.012050E+00
     1.9500   -1.139475E-03  5.379742E-02  3.162775E+00
     2.0000   -9.057766E-03  5.295020E-02  3.313500E+00
     2.0500   -1.694276E-02  5.207162E-02  3.473000E+00
     2.1000   -2.413375E-02  5.119305E-02  3.632500E+00
     2.1500   -3.046595E-02  5.031448E-02  3.792000E+00
     2.2000   -3.580263E-02  4.943590E-02  3.951500E+00
     2.2500   -4.029210E-02  4.863805E-02  4.117850E+00
     2.3000   -4.352116E-02  4.784021E-02  4.284200E+00
     2.3500   -4.543895E-02  4.704236E-02  4.450550E+00
     2.4000   -4.603384E-02  4.624451E-02  4.616900E+00
     2.4500   -4.518271E-02  4.529963E-02  4.784250E+00
     2.5000   -4.309175E-02  4.435475E-02  4.951600E+00
     2.5500   -3.987136E-02  4.340987E-02  5.118950E+00
     2.6000   -3.566142E-02  4.246499E-02  5.286300E+00
     2.6500   -3.060074E-02  4.156687E-02  5.455775E+00
     2.7000   -2.486831E-02  4.066875E-02  5.625250E+00
     2.7500   -1.866304E-02  3.977064E-02  5.794725E+00
     2.8000   -1.219054E-02  3.887252E-02  5.964200E+00
     2.8500   -5.487753E-03  3.801593E-02  6.138325E+00
     2.9000    1.087307E-03  3.715933E-02  6.312450E+00
     2.9500    7.332807E-03  3.630274E-02  6.486575E+00
     3.0000    1.306586E-02  3.544615E-02  6.660700E+00
     3.0500    1.804036E-02  3.453633E-02  6.832800E+00
     3.1000    2.221613E-02  3.362651E-02  7.004900E+00
     3.1500    2.550159E-02  3.271670E-02  7.177000E+00
     3.2000    2.783839E-02  3.180688E-02  7.349100E+00
     3.2500    2.928013E-02  3.095683E-02  7.523350E+00
     3.3000    2.973939E-02  3.010678E-02  7.697600E+00
     3.3500    2.925206E-02  2.925673E-02  7.871850E+00
     3.4000    2.788405E-02  2.840668E-02  8.046100E+00
     3.4500    2.574811E-02  2.758817E-02  8.221275E+00
     3.5000    2.292653E-02  2.676966E-02  8.396450E+00
     3.5500    1.955049E-02  2.595115E-02  8.571625E+00
     3.6000    1.576368E-02  2.513265E-02  8.746800E+00
     3.6500    1.179409E-02  2.439076E-02  8.920075E+00
     3.7000    7.695189E-03  2.364888E-02  9.093350E+00
     3.7500    3.607721E-03  2.290699E-02  9.266625E+00
     3.8000   -3.351732E-04  2.216511E-02  9.439901E+00
     3.8500   -4.018829E-03  2.150068E-02  9.612801E+00
     3.9000   -7.358057E-03  2.083625E-02  9.785701E+00
     3.9500   -1.026398E-02  2.017183E-02  9.958601E+00
     4.0000   -1.266702E-02  1.950740E-02  1.013150E+01
     4.0500   -1.459084E-02  1.890915E-02  1.030618E+01
     4.1000   -1.593834E-02  1.831091E-02  1.048085E+01
     4.1500   -1.669841E-02  1.771267E-02  1.065553E+01
     4.2000   -1.688093E-02  1.711442E-02  1.083020E+01
     4.2500   -1.660777E-02  1.660814E-02  1.100230E+01
     4.3000   -1.584509E-02  1.610187E-02  1.117440E+01
     4.3500   -1.464511E-02  1.559559E-02  1.134650E+01
     4.4000   -1.307205E-02  1.508931E-02  1.151860E+01
     4.4500   -1.121079E-02  1.464410E-02  1.169448E+01
     4.5000   -9.103887E-03  1.419889E-02  1.187035E+01
     4.5500   -6.835666E-03  1.375368E-02  1.204623E+01
     4.6000   -4.491741E-03  1.330847E-02  1.222210E+01
     4.6500   -2.153028E-03  1.292794E-02  1.239905E+01
     4.7000    1.208250E-04  1.254740E-02  1.257600E+01
     4.7500    2.256942E-03  1.216687E-02  1.275295E+01
     4.8000    4.190932E-03  1.178634E-02  1.292990E+01
     4.8500    5.914397E-03  1.145764E-02  1.310878E+01
     4.9000    7.348949E-03  1.112893E-02  1.328765E+01
     4.9500    8.461150E-03  1.080023E-02  1.346653E+01
     5.0000    9.230654E-03  1.047153E-02  1.364540E+01
     5.0500    9.693668E-03  1.018636E-02  1.382488E+01
     5.1000    9.813992E-03  9.901194E-03  1.400435E+01
     5.1500    9.605560E-03  9.616026E-03  1.418383E+01
     5.2000    9.093300E-03  9.330858E-03  1.436330E+01
     5.2500    8.332102E-03  9.082041E-03  1.454640E+01
     5.3000    7.328398E-03  8.833224E-03  1.472950E+01
     5.3500    6.130278E-03  8.584408E-03  1.491260E+01
     5.4000    4.790638E-03  8.335591E-03  1.509570E+01
     5.4500    3.366923E-03  8.108709E-03  1.527978E+01
     5.5000    1.905003E-03  7.881826E-03  1.546385E+01
     5.5500    4.593112E-04  7.654943E-03  1.564793E+01
     5.6000   -9.189940E-04  7.428061E-03  1.583200E+01
     5.6500   -2.193935E-03  7.227686E-03  1.601638E+01
     5.7000   -3.324502E-03  7.027310E-03  1.620075E+01
     5.7500   -4.277647E-03  6.826935E-03  1.638513E+01
     5.8000   -5.028528E-03  6.626560E-03  1.656950E+01
     5.8500   -5.584788E-03  6.448332E-03  1.675528E+01
